id,text,label_id,label_text,source,is_synthetic
0,"Good morning, this is [Your Name]'s personal assistant. How can I help you today?",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
1,"Hello, my name is Jamie. I'm interested in volunteering... [Step: 1] Good morning, Jamie! It's wonderful to hear about your interest in volunteering. We're always looking for passionate individuals to join our efforts.",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
2,"Yes, I'm really passionate about environmental conservation... [Step: 2] That's fantastic, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safety and effectiveness.",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
3,"Great, how do I sign up, and where can I find more information... [Step: 3] You can sign up through our official website. There's a volunteer registration section where you'll find all the information about the event, including date, location, and what to bring. Would you like me to guide you to the webpage or send you the link?",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
4,"Could you send me the link, please? And my email is jamie.green@example.com. [Step: 4] Absolutely, Jamie. I'll send the link to your email along with additional resources about the event. You should receive it within a few minutes.",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
5,"Thank you so much for your help. I'm really looking forward to the event. [Step: 5] You're welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach out.",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
6,"Hello, this is the assistant to [Your Name]. How may I help you today?",1,traditional_scam,Kaggle_Call Transcripts Scam Determinations,0
7,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences. [Step: 1] Can you specify the nature of the irregularity mentioned?",0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
8,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly. [Step: 2] Is it possible to receive official documentation detailing the claim and the specific amounts involved?",1,traditional_scam,Kaggle_Call Transcripts Scam Determinations,0
9,"Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties. [Step: 3] For verification, could you please provide a reference number for this case or a direct contact at the tax bureau?",1,traditional_scam,Kaggle_Call Transcripts Scam Determinations,0
10,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment. [Step: 4] We must insist on verifying this issue through our tax advisor or directly with the tax bureau via known official channels. Can you hold while I initiate this verification?",1,traditional_scam,Kaggle_Call Transcripts Scam Determinations,0
11,...failure to comply could result in immediate legal action... [Step: 5] We'll be in touch with the tax bureau directly and advise on our next steps based on their confirmation.,0,non_scam,Kaggle_Call Transcripts Scam Determinations,0
